run_path,step,tag,value
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,10,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,11,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,12,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,13,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,14,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,15,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,16,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,17,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,18,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,19,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,20,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,21,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,22,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,23,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,24,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,25,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,26,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,27,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,28,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,29,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,30,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,31,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,32,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,33,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,34,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,35,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,36,ActiveCount/Train/endgame,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,37,ActiveCount/Train/endgame,5097.0
