model,architecture,initialization,test_week,slice_type,event_type,observation_slice,match_count,alliance_count,actual_score_mean,predicted_score_mean,mean_bias_predicted_minus_actual,alliance_score_mae,alliance_score_rmse,score_differential_rmse,actual_score_p01,actual_score_p99,predicted_score_p01,predicted_score_p99
ridge,additive-control,pre-2026-prior,8,event_type,2,all,326,652,277.8174846625767,203.80799673661207,-74.00948792596462,96.30159695993541,118.69123705062633,118.44528362682934,62.51,516.96,30.607484828773707,416.2043640253897
ridge,additive-control,pre-2026-prior,8,event_type,5,all,1052,2104,324.1083650190114,257.0951735560853,-67.01319146292609,94.47133194804195,117.93438388282306,127.58590177732484,47.03,690.9699999999998,27.00059889397697,571.7557067926646
ridge,additive-control,pre-2026-prior,10,event_type,3,all,1119,2238,434.04468275245756,368.9073959388577,-65.1372868135999,116.15920905300786,148.12073212185769,169.0802113866653,102.96000000000001,797.6300000000001,60.97371902528035,734.8452343381723
rolling-pridge,additive-control,pre-2026-prior,6,event_type,0,all,601,1202,188.4567387687188,114.83935393748114,-73.61738483123767,132.44358100426703,171.0846759117417,219.61754434961227,18.009999999999998,556.9000000000001,-208.49264187998185,553.0324371917819
rolling-pridge,additive-control,pre-2026-prior,6,event_type,1,all,1259,2518,176.97061159650517,103.90218453817401,-73.06842705833115,98.11332965153117,123.23501563580886,123.52930166181923,21.0,553.8299999999999,-109.64244790742009,424.0543467108643
rolling-pridge,additive-control,pre-2026-prior,8,event_type,0,all,264,528,215.8219696969697,136.53112672578177,-79.29084297118791,139.1168468114131,180.80134504815373,214.67784193690164,21.0,553.0300000000002,-242.52617390233874,574.2704330312621
rolling-pridge,additive-control,pre-2026-prior,8,event_type,2,all,326,652,277.8174846625767,211.97731590198055,-65.84016876059617,92.12859762614514,114.27112840601754,119.37883442044722,62.51,516.96,20.988408748810976,435.62545512528186
rolling-pridge,additive-control,pre-2026-prior,8,event_type,5,all,1052,2104,324.1083650190114,266.5278180209565,-57.580546998054935,91.08439980367584,113.82465960320052,129.2038506525269,47.03,690.9699999999998,17.874748722325247,612.0970137815902
rolling-pridge,additive-control,pre-2026-prior,10,event_type,3,all,1119,2238,434.04468275245756,380.4716975456418,-53.57298520681574,112.49621101998889,143.420409043407,169.10637314856734,102.96000000000001,797.6300000000001,65.8766726495782,749.4852856068475
teammate-set,teammate-set,pre-2026-prior,6,event_type,0,all,601,1202,188.4567387687188,134.75943928786916,-53.69729948084967,74.27413881705974,98.77587199758648,119.44975968982756,18.009999999999998,556.9000000000001,35.83137836425574,386.55835915210383
teammate-set,teammate-set,pre-2026-prior,6,event_type,1,all,1259,2518,176.97061159650517,120.73057736310288,-56.2400342334023,71.12346141236176,92.77130805242133,101.23762049413894,21.0,553.8299999999999,25.174912914283624,394.35276996344834
teammate-set,teammate-set,pre-2026-prior,8,event_type,0,all,264,528,215.8219696969697,153.79642277722132,-62.02554691974839,83.04430224284502,105.56809460294267,116.38418764458046,21.0,553.0300000000002,31.716970961921174,419.3910532558665
teammate-set,teammate-set,pre-2026-prior,8,event_type,2,all,326,652,277.8174846625767,211.19033874298293,-66.6271459195938,87.69013799857595,109.5270398272855,116.83828333995267,62.51,516.96,69.02632058379788,412.14198627311765
teammate-set,teammate-set,pre-2026-prior,8,event_type,5,all,1052,2104,324.1083650190114,259.2618674585535,-64.84649756045785,88.96687581410332,112.98006764758983,125.47925076300908,47.03,690.9699999999998,66.66481657129805,458.4751225505665
teammate-set,teammate-set,pre-2026-prior,10,event_type,3,all,1119,2238,434.04468275245756,360.9957806183184,-73.04890213413917,108.75596859987606,137.07609677441485,155.60613434005134,102.96000000000001,797.6300000000001,156.05792840805694,512.2071269389786
additive,additive,pre-2026-prior,6,observation_slice,all,high,11,22,320.8181818181818,218.09982125300078,-102.71836056518106,114.10605982448988,150.17847922272813,139.82477443734882,106.77,638.75,108.24987120258207,346.46311054685157
additive,additive,pre-2026-prior,6,observation_slice,all,low,802,1604,163.07980049875312,129.09867396588524,-33.98112653286787,70.80124662738352,96.5241446232621,126.19968327400449,18.0,496.8800000000001,31.527780310368453,259.7467061698423
additive,additive,pre-2026-prior,6,observation_slice,all,medium,1047,2094,192.69293218720154,147.33980832315416,-45.35312386404738,72.87145451450257,98.60098830174584,119.02825268728651,23.0,558.0700000000002,52.28538205238437,333.6346018543369
additive,additive,pre-2026-prior,8,observation_slice,all,high,1356,2712,314.63495575221236,246.9392661871599,-67.6956895650525,93.2916844849995,117.52140714630623,131.04714762558203,51.22,662.4499999999994,90.78671512025154,484.14454049126124
additive,additive,pre-2026-prior,8,observation_slice,all,low,264,528,215.8219696969697,144.88541308926835,-70.93655660770135,89.88324145765397,113.47303217068404,117.98865811109724,21.0,553.0300000000002,27.122358416869254,398.0739616758106
additive,additive,pre-2026-prior,8,observation_slice,all,medium,22,44,222.0681818181818,172.35193119290633,-49.7162506252755,85.98599108167978,119.68041947636631,163.94068179618745,34.46,611.83,81.88904190247469,326.63943911474405
additive,additive,pre-2026-prior,10,observation_slice,all,high,1067,2134,436.45735707591376,342.09045972481863,-94.3668973510951,121.08324556716151,149.83453508680608,156.2062218190642,117.0,799.3400000000001,153.67051308814166,596.9617975925777
additive,additive,pre-2026-prior,10,observation_slice,all,low,2,4,375.5,243.61893905371,-131.88106094628995,150.89507217236007,192.59267614468266,117.3893556688993,287.39,596.15,116.51405456647507,323.50545988129056
additive,additive,pre-2026-prior,10,observation_slice,all,medium,50,100,384.9,277.70697764366963,-107.19302235633036,142.22689488779994,171.99776365979707,205.99178855112132,59.58,724.4600000000003,139.8192308011338,426.3117605767173
full-match,full-match,pre-2026-prior,6,observation_slice,all,high,11,22,320.8181818181818,230.4029075270212,-90.41527429116057,102.78662483852828,128.6752688081768,93.92914491207564,106.77,638.75,54.37027379866846,385.24402721983887
full-match,full-match,pre-2026-prior,6,observation_slice,all,low,802,1604,163.07980049875312,110.34008406207191,-52.7397164366812,68.8340975254865,91.67396674152334,107.06132238369644,18.0,496.8800000000001,17.977005444597143,344.1849152902045
full-match,full-match,pre-2026-prior,6,observation_slice,all,medium,1047,2094,192.69293218720154,130.4061870861946,-62.286745101006936,76.1087327470013,98.1898672209831,102.73661595517582,23.0,558.0700000000002,21.044460022200433,381.72349643071
full-match,full-match,pre-2026-prior,8,observation_slice,all,high,1356,2712,314.63495575221236,244.62878936281552,-70.0061663893969,91.53847213959983,114.79863897839618,122.3105448014669,51.22,662.4499999999994,69.45963791205416,458.21486047658755
full-match,full-match,pre-2026-prior,8,observation_slice,all,low,264,528,215.8219696969697,154.17257129703174,-61.64939839993794,81.5298782583081,104.82597797339362,114.50897004533064,21.0,553.0300000000002,35.552459365627044,431.68978393201985
full-match,full-match,pre-2026-prior,8,observation_slice,all,medium,22,44,222.0681818181818,160.1051486076203,-61.96303321056154,76.12189797954385,109.95989615654426,142.10599493101324,34.46,611.83,50.26515800383813,359.97972024193473
