supervision_mode,architecture,seed,epoch,scope,probability_variant,bin,count,mean_prediction,observed_rate
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_score_red_win_probability,3,12,0.3533271197704699,0.25
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_score_red_win_probability,4,15,0.4535338585326034,0.3333333333333333
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_score_red_win_probability,5,6,0.5358404991450344,0.16666666666666666
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_score_red_win_probability,6,10,0.6449386276990527,0.6
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_score_red_win_probability,7,12,0.7589817870829885,0.8333333333333334
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_score_red_win_probability,8,19,0.8768144628120583,0.5789473684210527
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_score_red_win_probability,9,27,0.9543855256566185,0.9629629629629629
baseline,direct-total-pridge,control,0.0,division:2026cur,raw_pred_red_win_probability,0,15,0.037504411322766516,0.13333333333333333
baseline,direct-total-pridge,control,0.0,division:2026cur,raw_pred_red_win_probability,1,15,0.166747073126981,0.26666666666666666
baseline,direct-total-pridge,control,0.0,division:2026cur,raw_pred_red_win_probability,2,11,0.23952079817155267,0.36363636363636365
baseline,direct-total-pridge,control,0.0,division:2026cur,raw_pred_red_win_probability,3,9,0.3393492643508579,0.3333333333333333
baseline,direct-total-pridge,control,0.0,division:2026cur,raw_pred_red_win_probability,4,12,0.44037288632594257,0.4166666666666667
baseline,direct-total-pridge,control,0.0,division:2026cur,raw_pred_red_win_probability,5,12,0.5469889299438596,0.4166666666666667
baseline,direct-total-pridge,control,0.0,division:2026cur,raw_pred_red_win_probability,6,13,0.6583519358000817,0.6923076923076923
baseline,direct-total-pridge,control,0.0,division:2026cur,raw_pred_red_win_probability,7,10,0.7418348604006686,0.9
baseline,direct-total-pridge,control,0.0,division:2026cur,raw_pred_red_win_probability,8,20,0.8501609044594911,0.75
baseline,direct-total-pridge,control,0.0,division:2026cur,raw_pred_red_win_probability,9,19,0.965725297711841,1.0
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_platt_red_win_probability,0,15,0.037504411322766516,0.13333333333333333
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_platt_red_win_probability,1,15,0.166747073126981,0.26666666666666666
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_platt_red_win_probability,2,11,0.23952079817155267,0.36363636363636365
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_platt_red_win_probability,3,9,0.3393492643508579,0.3333333333333333
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_platt_red_win_probability,4,12,0.44037288632594257,0.4166666666666667
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_platt_red_win_probability,5,12,0.5469889299438596,0.4166666666666667
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_platt_red_win_probability,6,13,0.6583519358000817,0.6923076923076923
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_platt_red_win_probability,7,10,0.7418348604006686,0.9
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_platt_red_win_probability,8,20,0.8501609044594911,0.75
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_platt_red_win_probability,9,19,0.965725297711841,1.0
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_score_red_win_probability,0,15,0.037504411322766516,0.13333333333333333
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_score_red_win_probability,1,15,0.166747073126981,0.26666666666666666
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_score_red_win_probability,2,11,0.23952079817155267,0.36363636363636365
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_score_red_win_probability,3,9,0.3393492643508579,0.3333333333333333
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_score_red_win_probability,4,12,0.44037288632594257,0.4166666666666667
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_score_red_win_probability,5,12,0.5469889299438596,0.4166666666666667
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_score_red_win_probability,6,13,0.6583519358000817,0.6923076923076923
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_score_red_win_probability,7,10,0.7418348604006686,0.9
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_score_red_win_probability,8,20,0.8501609044594911,0.75
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_score_red_win_probability,9,19,0.965725297711841,1.0
baseline,direct-total-pridge,control,0.0,division:2026dal,raw_pred_red_win_probability,0,14,0.050267629008673785,0.0
baseline,direct-total-pridge,control,0.0,division:2026dal,raw_pred_red_win_probability,1,18,0.1389848369047827,0.16666666666666666
baseline,direct-total-pridge,control,0.0,division:2026dal,raw_pred_red_win_probability,2,15,0.2568057568778866,0.4
baseline,direct-total-pridge,control,0.0,division:2026dal,raw_pred_red_win_probability,3,6,0.35617190080935296,0.3333333333333333
baseline,direct-total-pridge,control,0.0,division:2026dal,raw_pred_red_win_probability,4,11,0.4400015627740837,0.18181818181818182
baseline,direct-total-pridge,control,0.0,division:2026dal,raw_pred_red_win_probability,5,15,0.5448051971206984,0.4666666666666667
baseline,direct-total-pridge,control,0.0,division:2026dal,raw_pred_red_win_probability,6,13,0.6670860987177979,0.5384615384615384
baseline,direct-total-pridge,control,0.0,division:2026dal,raw_pred_red_win_probability,7,11,0.7447304155145154,0.6363636363636364
baseline,direct-total-pridge,control,0.0,division:2026dal,raw_pred_red_win_probability,8,10,0.8500001506085558,0.8
baseline,direct-total-pridge,control,0.0,division:2026dal,raw_pred_red_win_probability,9,25,0.9665627545756574,0.96
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_platt_red_win_probability,0,14,0.050267629008673785,0.0
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_platt_red_win_probability,1,18,0.1389848369047827,0.16666666666666666
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_platt_red_win_probability,2,15,0.2568057568778866,0.4
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_platt_red_win_probability,3,6,0.35617190080935296,0.3333333333333333
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_platt_red_win_probability,4,11,0.4400015627740837,0.18181818181818182
