comparison,metric,omitted_event,delta_right_minus_left,left_value,right_value,relative_delta
teammate-v-additive:official-total-core,winner_brier,2026dal,0.06666050537570509,0.22308860527943503,0.28974911065514014,0.29880730704379943
teammate-v-additive:official-total-core,winner_brier,2026gal,0.07357214113817379,0.21753544564802485,0.29110758678619864,0.33820760069241523
teammate-v-additive:official-total-core,winner_brier,2026hop,0.08020762076782607,0.22365428772349236,0.30386190849131844,0.3586232197210909
teammate-v-additive:official-total-core,winner_brier,2026joh,0.07672073714409128,0.21930274544110892,0.29602348258520017,0.3498393829487815
teammate-v-additive:official-total-core,winner_brier,2026mil,0.07147359457942143,0.22100786395245658,0.29248145853187807,0.3233984225773837
teammate-v-additive:official-total-core,winner_brier,2026new,0.07486040213644551,0.2218413484012341,0.29670175053767955,0.3374501763352472
teammate-v-additive:official-total-core,winner_log_loss,2026arc,0.5239915217618347,0.77107759766201,1.295069119423845,0.6795574444785241
teammate-v-additive:official-total-core,winner_log_loss,2026cur,0.5469126513916119,0.8105683435026328,1.3574809948942446,0.6747273758907107
teammate-v-additive:official-total-core,winner_log_loss,2026dal,0.5021687844156449,0.8124324985952412,1.3146012830108862,0.6181052398616915
teammate-v-additive:official-total-core,winner_log_loss,2026gal,0.4956664544072174,0.7876275657844526,1.28329402019167,0.6293157780905612
teammate-v-additive:official-total-core,winner_log_loss,2026hop,0.5930083832453312,0.8067270925813369,1.3997354758266682,0.7350792959584933
teammate-v-additive:official-total-core,winner_log_loss,2026joh,0.5580050072641324,0.7811980451336036,1.339203052397736,0.7142939114353521
teammate-v-additive:official-total-core,winner_log_loss,2026mil,0.5233830786482595,0.7956292405705422,1.3190123192188015,0.6578228299816428
teammate-v-additive:official-total-core,winner_log_loss,2026new,0.569864140668477,0.8049455836227175,1.3748097242911945,0.7079536210432524
full-v-teammate:official-total-core,score_squared_error,2026arc,-178.30037153234738,144.05641422329762,143.43622313537804,-0.004305195928021916
full-v-teammate:official-total-core,score_squared_error,2026cur,161.15282496716156,143.78976107998966,144.3490499324733,0.0038896291939208554
full-v-teammate:official-total-core,score_squared_error,2026dal,-32.001047004832714,145.99805424890786,145.88841899706165,-0.0007509363902843531
full-v-teammate:official-total-core,score_squared_error,2026gal,385.6086220637038,141.71303955986113,143.06709685793749,0.009554923825512804
full-v-teammate:official-total-core,score_squared_error,2026hop,114.17305557385747,141.0906704577258,141.4947007692671,0.0028636217421786412
full-v-teammate:official-total-core,score_squared_error,2026joh,69.66252024648749,143.14527482860223,143.38839641338677,0.0016984254986806434
full-v-teammate:official-total-core,score_squared_error,2026mil,25.531999998376584,144.7536625902491,144.84182694681138,0.0006090647724185942
full-v-teammate:official-total-core,score_squared_error,2026new,-300.8929436751919,143.58060872227162,142.52893831563776,-0.007324599164139981
full-v-teammate:official-total-core,differential_squared_error,2026arc,-568.8316058942456,177.8095709932405,176.20275801163268,-0.009036706925460726
full-v-teammate:official-total-core,differential_squared_error,2026cur,783.881085537104,179.27298804095585,181.4460948234208,0.012121774764910394
full-v-teammate:official-total-core,differential_squared_error,2026dal,276.35957217297295,179.01809684085958,179.7883159960523,0.0043024653305157295
full-v-teammate:official-total-core,differential_squared_error,2026gal,861.0533896312178,176.15354448809967,178.58086298747725,0.01377956093038797
full-v-teammate:official-total-core,differential_squared_error,2026hop,146.85569381427038,176.9838076850862,177.39820708374097,0.0023414537413057354
