phase,supervision_mode,architecture,epoch,nominal_parameter_count,trainable_parameter_count,gradient_receiving_parameter_count,active_team_rows,module_Z_base_nominal_parameter_count,module_Z_base_trainable_parameter_count,module_Z_base_gradient_receiving_parameter_count,module_prediction_heads_nominal_parameter_count,module_prediction_heads_trainable_parameter_count,module_prediction_heads_gradient_receiving_parameter_count,module_sab_nominal_parameter_count,module_sab_trainable_parameter_count,module_sab_gradient_receiving_parameter_count,module_pma_nominal_parameter_count,module_pma_trainable_parameter_count,module_pma_gradient_receiving_parameter_count,module_cross_nominal_parameter_count,module_cross_trainable_parameter_count,module_cross_gradient_receiving_parameter_count
development,phase-core,teammate-set,67,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,68,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,69,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,70,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,71,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,72,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,73,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,74,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,75,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,76,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,77,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,78,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,79,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,80,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,81,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,82,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,83,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,84,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,85,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,86,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,87,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,88,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,89,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,90,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,91,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,92,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,93,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,94,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,95,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,96,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,97,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,98,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,99,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,100,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,full-match,1,64162,64162,64162,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,1696.0,1696.0,1696.0
development,phase-core,full-match,2,64162,64162,64162,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,1696.0,1696.0,1696.0
development,phase-core,full-match,3,64162,64162,64162,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,1696.0,1696.0,1696.0
development,phase-core,full-match,4,64162,64162,64162,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,1696.0,1696.0,1696.0
