supervision_mode,architecture,seed,epoch,scope,probability_variant,metric,value,count,direction
baseline,direct-total-ridge,control,0.0,division:2026dal,transferred_platt_red_win_probability,mean_bias,-37.77617136144688,280,lower
baseline,direct-total-ridge,control,0.0,division:2026dal,transferred_platt_red_win_probability,relative_bias,-0.09265840865151573,280,lower
baseline,direct-total-ridge,control,0.0,division:2026dal,transferred_score_red_win_probability,alliance_score_rmse,108.31882164894323,280,lower
baseline,direct-total-ridge,control,0.0,division:2026dal,transferred_score_red_win_probability,mean_bias,-37.77617136144688,280,lower
baseline,direct-total-ridge,control,0.0,division:2026dal,transferred_score_red_win_probability,relative_bias,-0.09265840865151573,280,lower
baseline,direct-total-ridge,control,0.0,division:2026gal,raw_pred_red_win_probability,alliance_score_rmse,161.2737657121705,280,lower
baseline,direct-total-ridge,control,0.0,division:2026gal,raw_pred_red_win_probability,mean_bias,-100.0247364992464,280,lower
baseline,direct-total-ridge,control,0.0,division:2026gal,raw_pred_red_win_probability,relative_bias,-0.2351329954394556,280,lower
baseline,direct-total-ridge,control,0.0,division:2026gal,transferred_platt_red_win_probability,alliance_score_rmse,161.2737657121705,280,lower
baseline,direct-total-ridge,control,0.0,division:2026gal,transferred_platt_red_win_probability,mean_bias,-100.0247364992464,280,lower
baseline,direct-total-ridge,control,0.0,division:2026gal,transferred_platt_red_win_probability,relative_bias,-0.2351329954394556,280,lower
baseline,direct-total-ridge,control,0.0,division:2026gal,transferred_score_red_win_probability,alliance_score_rmse,161.2737657121705,280,lower
baseline,direct-total-ridge,control,0.0,division:2026gal,transferred_score_red_win_probability,mean_bias,-100.0247364992464,280,lower
baseline,direct-total-ridge,control,0.0,division:2026gal,transferred_score_red_win_probability,relative_bias,-0.2351329954394556,280,lower
baseline,direct-total-ridge,control,0.0,division:2026hop,raw_pred_red_win_probability,alliance_score_rmse,133.7298420216926,280,lower
baseline,direct-total-ridge,control,0.0,division:2026hop,raw_pred_red_win_probability,mean_bias,-72.95997613208297,280,lower
baseline,direct-total-ridge,control,0.0,division:2026hop,raw_pred_red_win_probability,relative_bias,-0.15819595865586075,280,lower
baseline,direct-total-ridge,control,0.0,division:2026hop,transferred_platt_red_win_probability,alliance_score_rmse,133.7298420216926,280,lower
baseline,direct-total-ridge,control,0.0,division:2026hop,transferred_platt_red_win_probability,mean_bias,-72.95997613208297,280,lower
baseline,direct-total-ridge,control,0.0,division:2026hop,transferred_platt_red_win_probability,relative_bias,-0.15819595865586075,280,lower
